appid,name,type,mac_available,windows_available,linux_available,release_date,publishers,developers,genres,categories,price_initial,description,recommendation_total,metacritic,num_achievements,review_score,review_score_desc,total_positive,total_negative,total_reviews
4704690,MECCHA CHAMELEON,game,False,True,False,"Jun 9, 2026",['lemorion_1224'],['lemorion_1224'],Casual,"Multi-player,PvP,Online PvP,Camera Comfort,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Surround Sound,Family Sharing",599.0,"Paint yourself to blend in! &quot;Meccha Chameleon&quot; is a new-sensation hide-and-seek game where you paint your white body to mimic the stage. Spot, pose, and &quot;artistic skill&quot; are keys to survival. Deceive Seekers with techniques that put chameleons to shame! Supports public matches and streaming.",7826.0,,,8,Very Positive,3831,731,4562
230410,Warframe,game,False,True,False,"Mar 25, 2013",['Digital Extremes'],['Digital Extremes'],"Action,RPG,Free To Play","Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Camera Comfort,Color Alternatives,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Surround Sound,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,HDR available",,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,2882.0,69.0,193.0,8,Very Positive,1008,134,1142
730,Counter-Strike 2,game,False,True,True,"Aug 21, 2012",['Valve'],['Valve'],"Action,Free To Play","Multi-player,Cross-Platform Multiplayer,Steam Trading Cards,Steam Workshop,In-App Purchases,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Surround Sound,Valve Anti-Cheat enabled,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Steam Timeline",,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.",5132784.0,,1.0,8,Very Positive,1253498,211769,1465267
381210,Dead by Daylight,game,False,True,False,"Jun 14, 2016",['Behaviour Interactive Inc.'],['Behaviour Interactive Inc.'],Action,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Color Alternatives,Custom Volume Controls,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing",1999.0,"10 years of horror. 10 years of jump scares and close calls. 10 years of brutal sacrifices and thrilling escapes. Trapped forever in a realm of eldritch evil where even death is not an escape, four determined Survivors face a bloodthirsty Killer in a vicious game of nerve and wits.",663460.0,,300.0,6,Mostly Positive,204754,52716,257470
216150,MapleStory,game,True,True,False,"Aug 9, 2012",['Nexon America Inc.'],['NEXON Korea Corporation'],"Action,Adventure,Casual,Massively Multiplayer,RPG,Free To Play","Single-player,Multi-player,MMO,Co-op,Steam Trading Cards",,"Join over 260 million players worldwide in MapleStory, the world’s biggest 2D MMORPG adventure! Play now for free.",101.0,,0.0,5,Mixed,48,32,80
578080,PUBG: BATTLEGROUNDS,game,False,True,False,"Dec 21, 2017","['KRAFTON, Inc.']",['PUBG Corporation'],"Action,Adventure,Massively Multiplayer,Free To Play","Multi-player,PvP,Online PvP,Custom Volume Controls,Stereo Sound,Surround Sound,Partial Controller Support,Stats,Remote Play on Phone,Remote Play on Tablet,Family Sharing",,"PUBG: BATTLEGROUNDS, the high-stakes winner-take-all shooter that started the Battle Royale craze, is free-to-play! Drop into diverse maps, loot unique weapons and supplies, and survive in an ever-shrinking zone where every turn could be your last.",1760763.0,,37.0,5,Mixed,176763,101860,278623
2357570,Overwatch®,game,False,True,False,"Aug 10, 2023","['Blizzard Entertainment, Inc.']","['Blizzard Entertainment, Inc.']","Action,Free To Play","Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Adjustable Text Size,Camera Comfort,Chat Speech-to-text,Chat Text-to-speech,Color Alternatives,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Subtitle Options,Surround Sound",,"Overwatch®, A FUTURE WORTH FIGHTING FOR! Overwatch® is an always-on and ever-evolving free-to-play, team-based action game set in an optimistic future, where every match is the ultimate 5v5 or 6v6 battlefield brawl.",269.0,,164.0,5,Mixed,70,77,147
2767030,Marvel Rivals,game,False,True,False,"Dec 5, 2024",['NetEase Games'],['NetEase Games'],"Action,Free To Play","Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Family Sharing",,"Marvel Rivals is a Super Hero Team-Based PVP Shooter! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel universe!",,,49.0,0,No user reviews,0,0,0
1085660,Destiny 2,game,False,True,False,"Oct 1, 2019",['Bungie'],['Bungie'],"Action,Adventure,Free To Play","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,In-App Purchases,Color Alternatives,Custom Volume Controls,Subtitle Options,Partial Controller Support,Family Sharing",,"Explore the mysteries of Sol and experience exhilirating first-person shooter combat in Destiny 2. Unlock powerful abilities and collect unique gear across story missions, co-op, and PvP modes.",137920.0,83.0,23.0,6,Mostly Positive,64399,16830,81229
1675200,Steam Deck,hardware,True,True,True,"Jan 17, 2025",,,,,39900.0,"Your games, everywhere Powerful, portable PC gaming, designed for comfort and a console-like user experience",,,,0,No user reviews,0,0,0
